 Date,Type,Description,Credit,Debit,Balance
16/01/2025,DEPOSIT,Distribution from ATLAS Infrastructure Australian Feeder Fund -  AUD Unhedged (PIM6769AU),100.07,0,690295.92
16/01/2025,DEPOSIT,Distribution from Greencape Wholesale High Conviction Fund (HOW0035AU),110.93,0,690195.85
16/01/2025,DEPOSIT,"Sold 1,005 GLOBAL X PHYSICAL GOLD, GLOBAL X PHYSICAL GOLD $39.74 [ASX] 14-JAN-2025 Ref: 32553344",39933.68,0,690084.92
16/01/2025,DEPOSIT,"Sold 11,985 L1 LONG SHORT FUND LIMITED, ORDINARY $2.90 [ASX] 14-JAN-2025 Ref: 32553268",34756.5,0,650151.24
15/01/2025,DEPOSIT,Distribution from ATLAS Infrastructure Australian Feeder Fund -  AUD Unhedged (PIM6769AU),986.53,0,615394.74
15/01/2025,DEPOSIT,Distribution from MACQUARIE TRUE INDEX AUSTRALIAN FIXED INTEREST FUND (MAQ0211AU),503.49,0,614408.21
15/01/2025,WITHDRAWAL,DEC-24 QTR MAP Private Wealth - Invoice 214414,0,6338.63,613904.72
10/01/2025,DEPOSIT,Distribution from Fidelity Future Leaders Fund (FID0026AU),414.66,0,620243.35
9/01/2025,DEPOSIT,Distribution from Payden Global Income Opportunities Fund (GSF0008AU),818.76,0,619828.69
8/01/2025,DEPOSIT,Distribution from PIMCO Global Credit Fund - Wholesale Class (ETL0019AU),0.29,0,619009.93
31/12/2024,GROSS_INTEREST,Interest,996.61,0,619009.64
23/12/2024,DEPOSIT,"Sold 34,963.727970 Bennelong ex 20 Australian Equities Fund 2.585800 [MGDFUND] 16-DEC-2024 Ref: 32483360",90409.21,0,618013.03
20/12/2024,DEPOSIT,"Sold 59,224.188344 CI Australian Equities Fund 1.591200 [MGDFUND] 17-DEC-2024 Ref: 32474288",94237.53,0,527603.82
20/12/2024,DEPOSIT,"Sold 12,042.970000 QVG Opportunities Fund 2.075900 [MGDFUND] 16-DEC-2024 Ref: 32474280",25000,0,433366.29
19/12/2024,DEPOSIT,"Sold 115,998.206457 Janus Henderson Australian Fixed Interest Fund 0.970100 [MGDFUND] 16-DEC-2024 Ref: 32465262",112529.86,0,408366.29
19/12/2024,DEPOSIT,"Sold 78,973.407000 Magellan Infrastructure Fund (Unhedged) 2.002900 [MGDFUND] 16-DEC-2024 Ref: 32465184",158175.84,0,295836.43
19/12/2024,DEPOSIT,"Sold 125,767.973789 PIMCO Global Credit Fund - Wholesale Class 0.898400 [MGDFUND] 16-DEC-2024 Ref: 32465178",112989.95,0,137660.59
18/12/2024,WITHDRAWAL,"Bought 50,000 UBS JBWere Australian Credit Fund [MGDFUND] 18-DEC-2024 Ref: 32455714",0,50000,24670.64
18/12/2024,WITHDRAWAL,"Bought 50,000 UBS JBWere International Credit Fund [MGDFUND] 18-DEC-2024 Ref: 32455702",0,50000,74670.64
18/12/2024,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),776.38,0,124670.64
18/12/2024,DEPOSIT,"Sold 13,180 GLOBAL X US TREASURY BOND ETF (CURRENCY HEDGED)., EXCHANGE TRADED FUND $9.20 [ASX] 16-DEC-2024 Ref: 32431958",121256,0,123894.26
16/12/2024,WITHDRAWAL,West RFT,0,70000,2638.26
12/12/2024,DEPOSIT,Distribution from Partners Group Global Value Fund (AUD) - Wholesale Units (ETL0276AU),273.52,0,72638.26
6/12/2024,WITHDRAWAL,To WES RFT AC,0,100000,72364.74
29/11/2024,GROSS_INTEREST,Interest,552.07,0,172364.74
27/11/2024,DEPOSIT,Distribution from Ares Diversified Credit Fund (HOW7354AU),773.79,0,171812.67
